time,open,high,low,close
1628952480,3259.51,3259.51,3259.51,3259.51
1628952540,3263.22,3263.22,3263.22,3263.22
1628952600,3265.00,3270.00,3265.00,3268.26
1628952660,3269.50,3271.32,3269.50,3271.32
1628952720,3270.01,3270.01,3270.00,3270.00
1628952780,3271.33,3275.98,3271.33,3275.98
1628952840,3275.98,3275.98,3275.98,3275.98
1628952900,3275.00,3275.00,3275.00,3275.00
1628952960,3270.81,3271.03,3270.81,3271.03
1628953020,3275.16,3275.53,3275.16,3275.53
1628953080,3275.53,3275.53,3275.53,3275.53
1628953140,3272.60,3272.60,3272.60,3272.60
1628953200,3272.87,3272.87,3270.98,3270.98
1628953260,3270.98,3270.98,3270.98,3270.98
1628953320,3272.62,3272.63,3272.62,3272.63
1628953380,3270.98,3270.98,3270.98,3270.98
1628953440,3270.02,3270.02,3270.02,3270.02
1628953500,3270.00,3270.00,3270.00,3270.00
1628953560,3261.87,3261.87,3261.87,3261.87
1628953620,3261.87,3261.87,3261.87,3261.87
1628953680,3261.87,3261.87,3261.87,3261.87
1628953740,3267.30,3268.04,3267.30,3268.04
1628953800,3268.04,3268.04,3268.04,3268.04
1628953860,3268.04,3268.04,3268.04,3268.04
1628953920,3260.71,3260.71,3259.61,3259.61
1628953980,3259.61,3259.61,3259.61,3259.61
1628954040,3259.71,3259.71,3259.71,3259.71
1628954100,3264.62,3264.62,3264.62,3264.62
1628954160,3264.62,3264.62,3264.62,3264.62
1628954220,3262.51,3262.51,3262.51,3262.51
1628954280,3262.51,3262.51,3262.51,3262.51
1628954340,3262.51,3262.51,3262.51,3262.51
1628954400,3266.00,3266.00,3266.00,3266.00
1628954460,3266.05,3266.78,3266.05,3266.78
1628954520,3266.78,3266.78,3266.78,3266.78
1628954580,3265.23,3266.37,3265.23,3266.37
1628954640,3266.37,3266.37,3266.37,3266.37
1628954700,3266.37,3266.37,3266.37,3266.37
1628954760,3266.37,3266.37,3266.37,3266.37
1628954820,3266.37,3266.37,3266.37,3266.37
1628954880,3264.14,3264.15,3263.28,3263.57
1628954940,3263.08,3263.08,3260.87,3260.87
1628955000,3260.87,3260.87,3260.87,3260.87
1628955060,3260.87,3260.87,3260.87,3260.87
1628955120,3260.87,3260.87,3260.87,3260.87
1628955180,3262.00,3262.00,3262.00,3262.00
1628955240,3261.77,3261.77,3253.43,3253.43
1628955300,3250.61,3250.61,3246.82,3246.82
1628955360,3246.12,3246.12,3246.12,3246.12
1628955420,3251.69,3251.69,3251.69,3251.69
1628955480,3253.72,3253.72,3253.72,3253.72
1628955540,3256.56,3256.69,3256.56,3256.69
1628955600,3256.69,3256.69,3256.69,3256.69
1628955660,3264.12,3264.12,3264.12,3264.12
1628955720,3264.12,3264.12,3264.12,3264.12
1628955780,3265.35,3265.35,3265.35,3265.35
1628955840,3265.35,3265.35,3265.35,3265.35
1628955900,3265.35,3265.35,3265.35,3265.35
1628955960,3265.35,3265.35,3265.35,3265.35
1628956020,3265.35,3265.35,3265.35,3265.35
1628956080,3268.12,3268.88,3268.12,3268.88
1628956140,3268.88,3268.88,3268.88,3268.88
1628956200,3271.33,3271.33,3271.33,3271.33
1628956260,3273.66,3275.42,3273.66,3275.42
1628956320,3275.42,3275.42,3275.42,3275.42
1628956380,3271.74,3271.74,3271.74,3271.74
1628956440,3271.74,3271.74,3271.74,3271.74
1628956500,3266.32,3266.32,3266.32,3266.32
1628956560,3266.28,3266.28,3266.28,3266.28
1628956620,3266.76,3266.76,3266.74,3266.74
1628956680,3268.30,3268.41,3268.30,3268.41
1628956740,3268.41,3268.41,3268.41,3268.41
1628956800,3265.70,3265.70,3265.70,3265.70
1628956860,3265.04,3267.10,3262.80,3262.80
1628956920,3262.80,3262.80,3262.80,3262.80
1628956980,3262.80,3262.80,3262.80,3262.80
1628957040,3268.24,3268.24,3268.24,3268.24
1628957100,3268.24,3268.24,3268.24,3268.24
1628957160,3268.24,3268.24,3268.24,3268.24
1628957220,3268.24,3268.24,3268.24,3268.24
1628957280,3268.24,3268.24,3268.24,3268.24
1628957340,3268.24,3268.24,3268.24,3268.24
1628957400,3268.24,3268.24,3268.24,3268.24
1628957460,3255.44,3255.44,3255.40,3255.40
1628957520,3254.33,3254.33,3254.33,3254.33
1628957580,3254.33,3254.33,3254.33,3254.33
1628957640,3254.33,3254.33,3254.33,3254.33
1628957700,3254.32,3254.32,3253.95,3253.95
1628957760,3255.49,3255.49,3255.49,3255.49
1628957820,3255.49,3255.49,3255.49,3255.49
1628957880,3255.49,3255.49,3255.49,3255.49
1628957940,3255.49,3255.49,3255.49,3255.49
1628958000,3255.49,3255.49,3255.49,3255.49
1628958060,3255.49,3255.49,3255.49,3255.49
1628958120,3255.49,3255.49,3255.49,3255.49
1628958180,3255.49,3255.49,3255.49,3255.49
1628958240,3255.49,3255.49,3255.49,3255.49
1628958300,3255.29,3255.29,3255.29,3255.29
1628958360,3260.37,3262.02,3260.37,3262.02
1628958420,3261.38,3261.38,3261.38,3261.38
1628958480,3262.14,3263.36,3262.14,3263.36
1628958540,3263.36,3263.36,3263.36,3263.36
1628958600,3263.36,3263.36,3263.36,3263.36
1628958660,3263.36,3263.36,3263.36,3263.36
1628958720,3263.36,3263.36,3263.36,3263.36
1628958780,3263.36,3263.36,3263.36,3263.36
1628958840,3263.36,3263.36,3263.36,3263.36
1628958900,3256.29,3256.29,3256.06,3256.06
1628958960,3256.06,3256.06,3256.06,3256.06
1628959020,3256.06,3256.06,3256.06,3256.06
1628959080,3256.06,3256.06,3256.06,3256.06
1628959140,3256.06,3256.06,3256.06,3256.06
1628959200,3256.06,3256.06,3256.06,3256.06
1628959260,3256.06,3256.06,3256.06,3256.06
1628959320,3256.06,3256.06,3256.06,3256.06
1628959380,3256.06,3256.06,3256.06,3256.06
1628959440,3256.06,3256.06,3256.06,3256.06
1628959500,3256.06,3256.06,3256.06,3256.06
1628959560,3256.06,3256.06,3256.06,3256.06
1628959620,3259.46,3259.46,3255.23,3255.23
1628959680,3255.47,3255.47,3253.84,3253.84
1628959740,3253.84,3253.84,3253.84,3253.84
1628959800,3255.14,3255.14,3255.14,3255.14
1628959860,3256.15,3256.15,3256.15,3256.15
1628959920,3258.55,3260.67,3258.55,3260.67
1628959980,3260.67,3260.67,3260.67,3260.67
1628960040,3261.03,3261.03,3261.03,3261.03
1628960100,3261.03,3261.03,3261.03,3261.03
1628960160,3261.92,3261.92,3261.92,3261.92
1628960220,3261.92,3261.92,3261.92,3261.92
1628960280,3261.92,3261.92,3261.92,3261.92
1628960340,3261.92,3261.92,3261.92,3261.92
1628960400,3261.92,3261.92,3261.92,3261.92
1628960460,3261.92,3261.92,3261.92,3261.92
1628960520,3261.92,3261.92,3261.92,3261.92
1628960580,3254.50,3254.50,3252.34,3252.34
1628960640,3252.34,3252.34,3252.34,3252.34
1628960700,3252.34,3252.34,3252.34,3252.34
1628960760,3252.34,3252.34,3252.34,3252.34
1628960820,3252.34,3252.34,3252.34,3252.34
1628960880,3252.34,3252.34,3252.34,3252.34
1628960940,3252.34,3252.34,3252.34,3252.34
1628961000,3252.34,3252.34,3252.34,3252.34
1628961060,3252.34,3252.34,3252.34,3252.34
1628961120,3250.00,3250.00,3250.00,3250.00
1628961180,3250.00,3250.00,3250.00,3250.00
1628961240,3250.00,3250.00,3250.00,3250.00
1628961300,3254.07,3254.07,3254.07,3254.07
1628961360,3254.07,3254.07,3254.07,3254.07
1628961420,3254.07,3254.07,3254.07,3254.07
1628961480,3258.83,3258.83,3258.83,3258.83
1628961540,3258.83,3258.83,3258.83,3258.83
1628961600,3258.83,3258.83,3258.83,3258.83
1628961660,3250.00,3250.00,3245.00,3245.00
1628961720,3245.89,3245.89,3235.00,3236.38
1628961780,3237.13,3237.13,3237.13,3237.13
1628961840,3233.15,3233.15,3233.15,3233.15
1628961900,3233.15,3233.15,3233.15,3233.15
1628961960,3233.15,3233.15,3233.15,3233.15
